les Escaldes	les Escaldes	Andorra	42.50729	1.53414	15853
Andorra la Vella	Andorra la Vella	Andorra	42.50779	1.52109	20430
Warīsān	Warisan	United Arab Emirates	25.16744	55.40708	108759
Umm Suqaym	Umm Suqaym	United Arab Emirates	25.15491	55.21015	16459
Umm Al Quwain City	Umm Al Quwain City	United Arab Emirates	25.56473	55.55517	59098
Ţarīf Kalbā	Tarif Kalba	United Arab Emirates	25.0695	56.33115	51000
Ar Rāshidīyah	Ar Rashidiyah	United Arab Emirates	25.22499	55.38947	38425
Ras Al Khaimah	Ras Al Khaimah	United Arab Emirates	25.78953	55.9432	351943
Zayed City	Zayed City	United Arab Emirates	23.65416	53.70522	63482
Khawr Fakkān	Khawr Fakkan	United Arab Emirates	25.33132	56.34199	40677
Kalbā	Kalba	United Arab Emirates	25.0513	56.35422	37545
Jumayrā	Jumayra	United Arab Emirates	25.20795	55.24969	39080
Dubai	Dubai	United Arab Emirates	25.07725	55.30927	3790000
Dibba Al-Fujairah	Dibba Al-Fujairah	United Arab Emirates	25.59246	56.26176	30000
Dibba Al-Hisn	Dibba Al-Hisn	United Arab Emirates	25.61955	56.27291	26395
Dayrah	Dayrah	United Arab Emirates	25.27143	55.30207	400000
Sharjah	Sharjah	United Arab Emirates	25.3342	55.41221	1800000
Ar Ruways	Ar Ruways	United Arab Emirates	24.11028	52.73056	25000
Ḩattā	Hatta	United Arab Emirates	24.80073	56.12726	15324
Fujairah	Fujairah	United Arab Emirates	25.11641	56.34141	118933
Al Ain City	Al Ain City	United Arab Emirates	24.19167	55.76056	846747
Ajman	Ajman	United Arab Emirates	25.40177	55.47878	490035
Adh Dhayd	Adh Dhayd	United Arab Emirates	25.28812	55.88157	20165
Abu Dhabi	Abu Dhabi	United Arab Emirates	24.45118	54.39696	1807000
Abū Hayl	Abu Hayl	United Arab Emirates	25.28413	55.33153	18043
As Saţwah	As Satwah	United Arab Emirates	25.22192	55.27459	40997
Al Ḩamīdīyah	Al Hamidiyah	United Arab Emirates	25.40001	55.52925	27000
Al Waheda	Al Waheda	United Arab Emirates	25.29173	55.33822	21608
Al Karama	Al Karama	United Arab Emirates	25.24004	55.30106	75560
Al Wasl	Al Wasl	United Arab Emirates	25.19881	55.25565	22153
The Palm Jumeirah	The Palm Jumeirah	United Arab Emirates	25.11607	55.13506	25500
Bur Dubai	Bur Dubai	United Arab Emirates	25.26038	55.29891	18698
Khalifah A City	Khalifah A City	United Arab Emirates	24.42588	54.605	85374
Mirdif	Mirdif	United Arab Emirates	25.22443	55.41412	60288
Hawr al ‘Anz	Hawr al 'Anz	United Arab Emirates	25.27744	55.33675	84661
Mankhūl	Mankhul	United Arab Emirates	25.24612	55.29222	41244
Nāyf	Nayf	United Arab Emirates	25.27139	55.30323	53075
Al Murar al Qadīm	Al Murar al Qadim	United Arab Emirates	25.27576	55.30738	19831
Al Warqaa	Al Warqaa	United Arab Emirates	25.19272	55.42013	59111
International City	International City	United Arab Emirates	25.16383	55.40987	120000
Dubai Marina	Dubai Marina	United Arab Emirates	25.08525	55.14646	120000
Dubai Internet City	Dubai Internet City	United Arab Emirates	25.09538	55.16171	24000
Al Safa	Al Safa	United Arab Emirates	25.17047	55.23336	15672
Ar Rumaylah	Ar Rumaylah	United Arab Emirates	25.40338	55.4334	86000
Al Jurf	Al Jurf	United Arab Emirates	25.41814	55.50791	18000
Al Majaz	Al Majaz	United Arab Emirates	25.32354	55.38774	116503
Dubai Festival City	Dubai Festival City	United Arab Emirates	25.22177	55.35733	77000
Dubai International Financial Centre	Dubai International Financial Centre	United Arab Emirates	25.2106	55.27787	36000
Dubai Investments Park	Dubai Investments Park	United Arab Emirates	25.00827	55.15682	160000
Jebel Ali	Jebel Ali	United Arab Emirates	25.00255	55.10811	210000
Bani Yas City	Bani Yas City	United Arab Emirates	24.30978	54.62944	80498
Musaffah	Musaffah	United Arab Emirates	24.35893	54.48267	243341
Al Shamkhah City	Al Shamkhah City	United Arab Emirates	24.39268	54.70779	61710
Reef Al Fujairah City	Reef Al Fujairah City	United Arab Emirates	25.14479	56.24764	82310
Al Bada'a	Al Bada'a	United Arab Emirates	25.22462	55.26888	18816
Al Muteena	Al Muteena	United Arab Emirates	25.27375	55.32265	48739
Al Mizhar First	Al Mizhar First	United Arab Emirates	25.24805	55.44128	17498
Dubai Silicon Oasis	Dubai Silicon Oasis	United Arab Emirates	25.11985	55.38718	90000
Al Furjan	Al Furjan	United Arab Emirates	25.02651	55.14565	26000
Business Bay	Business Bay	United Arab Emirates	25.18544	55.26969	191000
Al Qusais 1	Al Qusais 1	United Arab Emirates	25.27925	55.36995	48378
Halwan	Halwan	United Arab Emirates	25.34586	55.42165	19389
Al Sajaah	Al Sajaah	United Arab Emirates	25.31532	55.63211	53079
Lahbab	Lahbab	United Arab Emirates	25.03763	55.59135	53079
Mohammed Bin Zayed City	Mohammed Bin Zayed City	United Arab Emirates	24.34794	54.55368	85000
Zaranj	Zaranj	Afghanistan	30.95962	61.86037	49851
Bāzār-e Yakāwlang	Bazar-e Yakawlang	Afghanistan	34.73525	66.97379	65000
Taloqan	Taloqan	Afghanistan	36.73605	69.53451	64256
Shīnḏanḏ	Shindand	Afghanistan	33.30294	62.1474	29264
Shibirghān	Shibirghan	Afghanistan	36.66757	65.7529	55641
Shahrak	Shahrak	Afghanistan	34.10737	64.3052	15967
Sar-e Pul	Sar-e Pul	Afghanistan	36.21544	65.93249	52121
Sang-e Chārak	Sang-e Charak	Afghanistan	35.84972	66.43694	15377
Aībak	Aibak	Afghanistan	36.26468	68.01551	47823
Rustāq	Rustaq	Afghanistan	37.12604	69.83045	25636
Qarqīn	Qarqin	Afghanistan	37.41853	66.04358	15018
Qarāwul	Qarawul	Afghanistan	37.21959	68.7802	24544
Pul-e Khumrī	Pul-e Khumri	Afghanistan	35.94458	68.71512	56369
Paghmān	Paghman	Afghanistan	34.58787	68.95091	49157
Nīlī	Nili	Afghanistan	33.72178	66.13023	30058
Nahrīn	Nahrin	Afghanistan	36.0649	69.13343	22363
Maymana	Maymana	Afghanistan	35.92139	64.78361	75900
Mehtar Lām	Mehtar Lam	Afghanistan	34.67139	70.20944	17345
Mazār-e Sharīf	Mazar-e Sharif	Afghanistan	36.70904	67.11087	523300
Lashkar Gāh	Lashkar Gah	Afghanistan	31.59382	64.37161	43934
Kushk	Kushk	Afghanistan	33.29565	61.95221	16952
Kunduz	Kunduz	Afghanistan	36.72895	68.857	161902
Khōst	Khost	Afghanistan	33.33951	69.92041	96123
Khulm	Khulm	Afghanistan	36.69736	67.69826	64933
Khāsh	Khash	Afghanistan	31.52919	62.79055	15133
Khān Neshīn	Khan Neshin	Afghanistan	30.5488	63.7888	25600
Khanabad	Khanabad	Afghanistan	36.68304	69.11279	71531
Karukh	Karukh	Afghanistan	34.48108	62.5863	17484
Kandahār	Kandahar	Afghanistan	31.61332	65.71013	523300
Kabul	Kabul	Afghanistan	34.52813	69.17233	4434550
Jurm	Jurm	Afghanistan	36.86477	70.83421	23064
Jalālābād	Jalalabad	Afghanistan	34.42647	70.45153	271900
Jabal os Saraj	Jabal os Saraj	Afghanistan	35.11833	69.23778	15032
Herāt	Herat	Afghanistan	34.34817	62.19967	574300
